RegionName,City,State,Metro,CountyName,SizeRank,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
10025,New York,NY,New York,New York,1,,,,,,,,,,,,,,,5000,4797.5,4975,5195,5500,5500,5200,5375,5095,5000,5000,5000,4885,4850,5000,5200,5462.5,5500,5325,5695,5600,5125,5000,5200,5650,5700,5550,5472.5,5300,5000,5400,5000,5200,5295,5150,5500,5000,5000,5000,5000,5000,5095.5,5000,4895,4800,4800,4800,4947.5,5000,5075,5000,4947.5,4947.5,4995,4800,4800
60657,Chicago,IL,Chicago,Cook,2,,,,,,,,,,,,,,,3195,3100,3000,3000,2985,2987.5,3025,3050,2995,2972.5,2999,3000,3000,2900,3200,3200,3225,3600,3600,3400,3400,3650,3400,3400,3400,3200,3200,3200,3445,3400,3200,3050,2900,2995,3000,3095,3195,3195,3600,3600,3600,3345,3200,3095,3000,3000,3000,3195,3195,3250,3400,3500,3600,3400,3250,3400
60614,Chicago,IL,Chicago,Cook,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3850,3875,3800,3775,3600,3600,3695,3800,3895,3600,3495,3495,3750,3900,3750,3495,3200,3650,3975,3897.5,3847.5,3500,3465,3465,3595,3600,3600,3465,3500,3545,3890,4100,4120,3900,3900
77084,Houston,TX,Houston,Harris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1697.5,1700,1575,1500,1500,1500,1495,1500,1500,1637.5,1650,1625,1550,1600,1600,1675,1650,1650,1675,1651.5,1650,1625,1650,1725,1672.5,1600,1650,1630,1650,1600,1597.5,1625,1687.5,1595,1600,1600,1650,1600
11226,New York,NY,New York,Kings,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2875,2875,2750,2699,2750,2750,2700,2699,2900,2575,2672.5,2800,3000,2800,2875,2750,2625,2950,2550,2599,2800,3000,2800,2800,2900,3000,3000,2995,3095,3100,3000,3099,3099,3100,3100
75070,McKinney,TX,Dallas-Fort Worth,Collin,6,,,,1597.5,1675,1650,1600,1650,1650,1750,1695,1650,1650,1650,1700,1650,1772.5,1700,1650,1750,1795,1700,1725,1750,1762.5,1850,1795,1750,1750,1797.5,1750,1795,1795,1795,1750,1750,1750,1725,1750,1750,1795,1830,1800,1812.5,1850,1800,1800,1800,1800,1835,1812.5,1850,1847.5,1895,1900,1872.5,1857.5,1895,1895,1875,1895,1850,1837.5,1850,1900,1995,1985,2000,1985,1997.5
77449,Cypress,TX,Houston,Harris,7,,,,,,,,1300,1300,1350,1350,1325,1312.5,1350,1350,1337.5,1337.5,1350,1300,1350,1350,1350,1395,1400,1400,1477.5,1450,1450,1495,1475,1485,1500,1512.5,1500,1500,1500,1495,1450,1450,1450,1472,1500,1500,1585,1550,1525,1525,1550,1525,1525,1525,1547.5,1550,1550,1525,1525,1550,1600,1595,1550,1517,1525,1525,1537.5,1550,1585,1587.5,1600,1550,1525
77494,Cinco Ranch,TX,Houston,Fort Bend,8,,,,,,,,,,,,2100,2025,2000,2115,2275,2375,2250,2300,2497.5,2300,2225,2100,2200,2347.5,2250,2350,2350,2300,2200,2200,2200,2300,2300,2300,2250,2200,2250,2300,2325,2300,2397.5,2400,2300,2400,2397.5,2350,2300,2300,2350,2350,2400,2400,2400,2400,2400,2375,2350,2350,2262.5,2300,2200,2262.5,2300,2450,2300,2300,2200,2150,2300
28269,Charlotte,NC,Charlotte,Mecklenburg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.5,1400,1399,1395,1395,1375,1337.5,1295,1295,1325,1325,1350,1350,1350,1395,1450,1497.5,1495,1425,1420,1425,1400,1450,1550,1497.5,1500,1500,1495,1495,1450,1487.5,1495,1575,1595,1572.5,1575,1545,1515,1400,1495,1535,1550
30349,Riverdale,GA,Atlanta,Clayton,10,,,,,,,1200,1257.5,1250,1200,1187.5,1247.5,1200,1200,1200,1200,1200,1200,1175,1200,1200,1150,1100,1125,1125,1150,1197.5,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,1175,1190,1200,1200,1225,1200,1150,1152.5,1195,1190,1195,1245,1200,1200,1200,1237,1250,1250,1245,1250,1250,1250,1225,1222.5,1250,1250,1262.5,1295,1250,1300,1230,1297.5,1295
