RegionName,City,State,Metro,CountyName,SizeRank,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
10025,New York,NY,New York,New York,1,,,,,,,2575,2639,2661.5,2350,2300,2400,2495,2500,2550,2500,2500,2350,2450,2595,2640,2500,2500,2500,2550,2595,2595,2610,2695,2700,2795,2850,2750,2700,2695,2695,2730,2800,2801,2700,2700,2875,2800,2800,2850,2900,2897.5,2900,2850,2800,2750,3195,3025,3081.5,3050,3100,3100,3100,3088,3100,3175,3025,2995,2995,3050,3050,3025,3050,3000,3050,3050,3069,3000,3100,3040,2997.5,3000,3100
60657,Chicago,IL,Chicago,Cook,2,,,,,,,,,,1095,1095,1095,1095,1125,1125,1125,1095,1095,1095,1100,1125,1140,1102.5,1100,1127.5,1125,1135,1125,1095,1125,1167.5,1170,1190,1200,1210,1200,1200,1225,1240,1250,1275,1250,1245,1245,1250,1250,1250,1250,1255,1275,1267,1275,1275,1250,1257.5,1290,1265,1275,1295,1295,1300,1315,1325,1315,1300,1300,1295,1310,1325,1325,1345,1395,1395,1395,1400,1395,1375,1345
10023,New York,NY,New York,New York,3,,,,,,3200,3072.5,3050,3110,2800,2700,2985,3000,3000,2900,2950,2900,2950,2999,3100,3143.5,3095,3065,3000,3000,3100,3000,3000,3000,3100,3135,3100,3048.5,3000,3000,3150,3048.5,3042,3100,3126.5,3150,3200,3200,3100,3199.5,3200,3200,3200,3200,3200,3195,3300,3350,3300,3315,3350,3300,3300,3350,3350,3397.5,3300,3300,3350,3390,3350,3300,3300,3325,3300,3300,3350,3300,3300,3300,3108,3300,3300
60614,Chicago,IL,Chicago,Cook,4,,,,,,,,,,1277.5,1250,1199,1190,1199,1250,1260,1270,1295,1300,1300,1375,1387.5,1365,1370,1350,1325,1402.5,1441,1495,1495,1495,1545,1558.5,1515,1500,1450,1460,1500,1500,1455,1450,1495,1455,1450,1550,1550,1495,1450,1445,1450,1447.5,1395,1395,1475,1515,1622.5,1515,1547.5,1500,1400,1495,1495,1475,1445,1450,1457.5,1450,1550,1550,1525,1650,1550,1545,1475,1495,1460,1550,1495
10002,New York,NY,New York,New York,5,,,,,,,,,,,,,,,,,,,,2200,2214,2295,2275,2300,2295,2350,2350,2295,2275,2350,2300,2300,2300,2350,2350,2350,2395,2395,2400,2450,2400,2400,2400,2400,2400,2400,2400,2462.5,2495,2500,2500,2600,2580,2550,2550,2525,2600,2550,2595,2575,2500,2500,2650,2650,2650,2695,2650,2650,2650,2695,2690,2662.5,2690,2595,2625,2612.5,2650,2692.5
60640,Chicago,IL,Chicago,Cook,6,,,,,,,,,,895,875,895,900,900,895,895,895,875,875,885,895,920,945,950,950,965,950,955,995,1025,1030,1035,1050,1045,1035,1025,1050,1050,1065,1095,1100,1095,1050,1050,1050,1095,1055,1050,1050,1100,1100,1100,1100,1100,1095,1100,1100,1145,1150,1075,1150,1125,1125,1175,1167.5,1175,1165,1165,1150,1175,1195,1175,1175,1182.5,1195,1195,1175,1200
10467,New York,NY,New York,Bronx,7,,,,,,,,,,,,,,,1100,1100,1050,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1100,1100,1100,1050,1020,1050,1050,1100,1100,1125,1100,1100,1100,1150,1150,1150,1150,1150,1150,1100,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1350,1350,1350,1325,1350,1350,1350,1375
94109,San Francisco,CA,San Francisco,San Francisco,8,,,,,,,,,,,1750,1895,1750,1800,1795,1895,2050,2250,2295,2195,1950,2122.5,2195,2162.5,2100,2472.5,2470,2250,2350,2297.5,2350,2400,2400,2495,2585,2600,2559,2600,2790,2825,2800,2795,2795,3150,3100,3100,2825,2800,2805,3195,3095,2995,3100,3100,3200,3200,3200,3197.5,3150,3347.5,3397.5,3400,3400,3400,3400,3300,3295,3195,3250,3200,3400,3395,3200,3395,3200,3150,2905,2995
11226,New York,NY,New York,Kings,9,,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1275,1275,1275,1250,1250,1250,1225,1275,1295,1295,1300,1300,1300,1300,1300,1325,1325,1350,1350,1375,1375,1400,1450,1400,1400,1450,1450,1450,1450,1450,1450,1500,1500,1500,1500,1500,1500,1500,1500,1500,1525,1575,1650,1600,1600,1600,1600,1625,1650,1600,1600,1600,1625,1600,1600,1600,1700,1650,1750
75070,McKinney,TX,Dallas-Fort Worth,Collin,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,871,868.5,870,860,880,900,900,896.5,900,922.5,951.5,886,886,893,904.5,948,978,938,939.5,966,960,953,940,946,990,970,979,1024,990.5,1051,1056,1008
11375,New York,NY,New York,Queens,11,,,,,,,,,,1500,1450,1450,1462.5,1575,1562.5,1499.5,1500,1550,1550,1550,1550,1637.5,1562.5,1550,1580,1650,1625,1612.5,1612.5,1600,1600,1600,1650,1650,1625,1625,1625,1650,1650,1725,1795,1795,1700,1695,1695,1700,1725,1725,1725,1750,1750,1800,1750,1775,1795,1785,1775,1800,1800,1825,1850,1895,1875,1862.5,1875,1885,1825,1825,1850,1857.5,1895,1850,1900,1950,1900,1900,1900,1900
10016,New York,NY,New York,New York,12,2900,3300,3350,3100,3200,3095,3000,3200,2947.5,2750,2572.5,2765,2750,2842.5,2800,2895,2900,2900,2895,2912.5,2850,2900,2900,2900,2950,2995,3000,3050,3050,3095,3095,3100,3050,3000,3000,3050,3045,3040,3049,3100,3100,3150,3100,3100,3100,3100,3100,3100,3100,3150,3172,3500,3488,3400,3395,3398,3400,3395,3425,3450,3450,3425,3450,3469,3453.5,3450,3418,3395,3350,3347,3395,3425,3400,3430,3430,3375,3400,3398
77494,Cinco Ranch,TX,Houston,Fort Bend,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,1008,1010,1010,1055,1078,1022,1078,1085,1079,1055,1052,1050,1025,1000,1000,980,1032.5,1004.5,1019.5,1005,985,1021,1020,1020,1020,1063.5,1000,1000,985,1029,1039,1205,1057,1095.5,1104,1127,1225,1164
11235,New York,NY,New York,Kings,14,,,,,,,,,,,,,,1275,1300,1300,1300,1275,1300,1295,1295,1250,1275,1300,1300,1300,1325,1325,1340,1375,1375,1375,1375,1375,1375,1400,1375,1375,1400,1385,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1475,1475,1460,1475,1499,1500,1500,1495,1497.5,1525,1600,1600,1575,1575,1600,1625,1625,1611.5,1599,1600,1600,1625,1650,1650,1650,1675,1675,1695
60647,Chicago,IL,Chicago,Cook,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1000,1095,1195,1195,1125,1195,1195,1195,1162.5,1195,1100,1137.5,1125,1195,1195,1195,1195,1250,1195,1195,1095,1095,1085,1150,1250,1095,1250,1295,1265,1250,1250,1200,1195,1195,1195,1250,1295,1325,1337.5,1300,1295,1295,1250,1250
10009,New York,NY,New York,New York,16,,,,,,,,,,2200,2397.5,2261,2262.5,2450,2300,2395,2450,2500,2550,2565,2592,2595,2600,2675,2662.5,2700,2750,2695,2750,2795,2800,2795,2699,2700,2595,2697,2762.5,2795,2750,2695,2695,2700,2696,2695,2650,2690,2795,2750,2750,2800,2795,3155,2999,2895,2895,2895,2900,2895,2895,2895,2700,2695,2795,2795,2850,2995,2947,2857.5,2850,2895,2950,2895,2995,3000,3050,3000,2895,2845
60618,Chicago,IL,Chicago,Cook,17,,,,,,,,,,,,845,895,895,850,875,875,875,875,845,800,895,895,910,910,965,875,875,910,900,850,895,900,925,925,925,995,980,930,950,950,990,995,1000,950,975,995,1000,1025,1050,1005,1025,1025,1095,1092.5,1050,1050,1050,1050,1000,1050,1032.5,1085,1100,1200,1150,1122.5,1150,1180,1125,1175,1150,1095,1150,1195,1150,1195,1185
10128,New York,NY,New York,New York,18,,,,,,,,2097.5,2200,2200,2150,2300,2450,2467.5,2350,2350,2450,2412.5,2495,2500,2400,2395,2375,2300,2395,2400,2450,2450,2500,2400,2495,2550,2495,2495,2400,2395,2400,2350,2400,2250,2450,2575,2600,2550,2550,2527,2550,2599,2592.5,2500,2550,2600,2600,2650,2675,2695,2700,2650,2695,2700,2695,2600,2670,2600,2700,2700,2685,2695,2700,2700,2725,2725,2690,2695,2685,2700,2675,2697
10029,New York,NY,New York,New York,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2600,2550,2487,2495,2435,2372.5,2500,2495,2462.5,2600,2850,2900,3195,3050,3200,3200
10011,New York,NY,New York,New York,20,,,,,,3400,3200,2950,3125,2895,2800,3000,3097.5,3237.5,3125,3050,3100,3100,3100,3300,3300,3395,3295,3295,3400,3400,3300,3395,3397.5,3350,3303,3395,3400,3400,3300,3300,3400,3395,3400,3500,3500,3500,3500,3400,3450,3450,3400,3450,3456.5,3500,3500,3600,3682,3750,3700,3600,3795,3800,3800,3800,3850,3795,3700,3650,3795,3765,3795,3650,3600,3682,3720,3650,3650,3688.5,3800,3645.5,3731.5,3750
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.5,1897.5,1829,1862,1840,1865,1813,1795,1732,1750,1695,1695,1670,1750,1880,1725,1725,1805,1725,1696.5,1734,1825,1875,1890,1796.5,1842.5,1925,1849.5,1850,1850,1895,1850,1800,2030.5,1947.5,1895,1900,2125,2050,2050,1975,2095,2100,2075,1972.5,1995,1962.5,1995,1918.5,2093
10003,New York,NY,New York,New York,22,,,,,,3195,3017.5,3100,3112.5,2972.5,2900,2900,2972.5,2995,2995,2950,2900,2950,3000,3000,3000,3095,3082.5,3000,3095,3150,3150,3100,3102.5,3200,3200,3100,3150,3100,3100,3195,3195,3195,3200,3150,3100,3195,3137.5,3200,3295,3250,3250,3200,3200,3250,3200,3350,3400,3397.5,3395,3350,3400,3500,3500,3400,3450,3300,3300,3300,3300,3450,3450,3397,3450,3397.5,3400,3495,3400,3400,3300,3350,3300,3395
