ZIP_CODE,City,State,Metro,County Name,SizeRank,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
10025,New York,NY,New York,New York,1,,,1650,1595,1595,1650,1720,1740,1850,1850,1895,1850,1850,1850,1825,1875,1875,1875,1900,1950,2000,2000,2100,2000,2000,2095,2100,2025,2100,2075,1950,2050,2150,2195,2195,2200,2250,2195,2200,2200,2250,2150,2297.5,2050,2150,2150,2300,2334,2200,2195,2275,2262.5,2250,2250,2150,2254,2276.5,2350,2325,2400,2207.5,2285,2350.5,2395,2195,2300,2322.5,2200,2350
60657,Chicago,IL,Chicago,Cook,2,780,800,795,810,825,825,825,825,845,825,825,835,835,815,802.5,840,860,850,875,850,845,875,880,865,895,900,900,905,895,925,925,940,935,930,905,925,925,925,930,940,950,950,950,935,920,895,900,940,950,950,950,950,965,975,975,950,975,975,975,975,995,1025,1035,1030,1025,1037.5,1020,1005,995
10023,New York,NY,New York,New York,3,,2100,2175,2100,2100,2200,2250,2250,2262.5,2250,2200,2100,2200,2250,2150,2150,2195,2199,2200,2232.5,2285,2300,2250,2245,2200,2199,2200,2200,2200,2250,2200,2200,2300,2299,2285,2295,2279,2300,2300,2295,2250,2250,2350,2400,2400,2400,2400,2350,2350,2350,2400,2400,2385,2300,2342,2400,2400,2390,2350,2322,2304.5,2400,2345,2389.5,2350,2395,2499,2350,2395
10002,New York,NY,New York,New York,4,,,,,,,,,1775,1800,1800,1800,1900,1997.5,1950,1900,1995,1900,1900,1925,1925,2000,2000,1995,1995,1950,1975,1950,1995,2000,2000,1950,2000,1950,1992.5,2000,2000,2000,2000,2000,2100,2025,2150,2293,2375,2495,2760,2820,2695,2497.5,2400,2300,2250,2447.5,2250,2400,2495,2495,2392.5,2195,2280,2500,2375,2200,2200,2250,2150,2100,2150
60640,Chicago,IL,Chicago,Cook,5,,,,,,,695,695,695,695,695,695,725,700,700,745,740,750,750,750,750,750,750,745,750,755,760,785,785,795,795,795,795,785,775,775,785,785,795,795,795,795,795,795,815,795,800,785,795,795,795,835,825,825,845,850,850,850,850,850,860,850,870,850,890,885,875,905,895
94109,San Francisco,CA,San Francisco,San Francisco,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,2195,2150,2045,2020,1995,1995,2172.5,2200,2200,2300,2250,2250,2295,2397.5,2295,2195,2212.5,2195,2237.5,2225,2100,2195
11226,New York,NY,New York,Kings,7,,,,,,,,,,,,,,,,,,,1100,1100,1100,1125,1125,1125,1150,1200,1225,1250,1200,1200,1200,1300,1300,1295,1256.5,1300,1300,1300,1300,1300,1300,1295,1350,1350,1400,1400,1400,1350,1395,1400,1395,1385,1400,1400,1400,1400,1500,1500,1500,1400,1400,1400,1500,1500,1595,1500,1597.5,1500,1550
11375,New York,NY,New York,Queens,8,,,,,,,,,,1143,1200,1225,1250,1250,1294.5,1285,1275,1295,1275,1350,1350,1350,1350,1350,1300,1350,1350,1350,1375,1375,1395,1425,1450,1450,1450,1450,1350,1375,1350,1375,1500,1450,1495,1500,1450,1450,1450,1450,1450,1450,1450,1450,1450,1475,1500,1550,1530,1525,1525,1537,1521,1500,1525,1500,1500,1525,1575,1575,1587.5
10016,New York,NY,New York,New York,9,2200,2300,2150,2150,2200,2200,2200,2250,2250,2250,2200,2200,2200,2300,2250,2250,2300,2345,2300,2295,2200,2200,2200,2250,2295,2250,2300,2300,2300,2299,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2350,2350,2400,2395,2385,2400,2400,2400,2475,2475,2400,2450,2400,2400,2400,2400,2400,2395,2400,2400,2400,2400,2400,2395,2400,2400,2395,2400,2400
11235,New York,NY,New York,Kings,10,,,,,,,,,,,,,,,,,,,,,1050,1050,1050,1097.5,1100,1100,1150,1150,1100,1100,1100,1150,1125,1150,1150,1150,1150,1150,1150,1150,1150,1197.5,1300,1262.5,1350,1350,1250,1250,1325,1300,1225,1250,1225,1250,1295,1300,1300,1350,1397.5,1375,1325,1399,1387.5,1450,1425,1495,1255,1387.5,1425
60647,Chicago,IL,Chicago,Cook,11,,,,,,,,,,,,,,,,,,,,,,,,,,,850,950,895,850,850,825,825,850,850,875,875,875,875,875,875,875,895,875,875,875,875,875,875,895,895,925,960,950,950,995,950,895,895,895,907.5,975,995,995,1025,995,995,975,925
10009,New York,NY,New York,New York,12,,,1800,1800,1850,1900,1900,1925,1900,1925,1900,1900,1900,1925,1900,1925,1950,1950,1925,1950,2000,1995,1975,1975,1975,1990,1975,1925,1925,1975,1975,1975,2000,2000,2000,2020,2050,2050,2095,2050,2057.5,2075,2035,2000,2025,2000,2000,2050,2300,2300,2000,2095,2000,2000,2042.5,2095,2050,2035,2000,2025,2049.5,2085,2050,2050,2100,2050,2050,2097.5,2100
10128,New York,NY,New York,New York,13,,1695,1750,1800,1755,1800,1795,1750,1825,1850,1900,1850,1850,1850,1849.5,1829,1827,1849,1850,1850,1825,1845,1800,1850,1850,1829,1850,1849,1825,1845,1827,1875,1895,1900,1885,1899,1885,1895,1895,1895,1895,1875,1850,1875,1875,1895,1875,1850,1875,1887.5,1900,1895,1850,1880,1875,1875,1895,1900,1900,1895,1895,1895,1897,1899,1895,1900,1907.5,1895,1899
10029,New York,NY,New York,New York,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2350,2600,2600,2600,2500,2600,2612.5,2600,2400,2350,2650,2650,2775,2800,2800,2800,2750,2800,2800,2800,2775,2750,2800,2800,2800,2800,2750,2800,2800,2775,2750,2700,2800,2800,2800,2800,2800,2825,2850
10011,New York,NY,New York,New York,15,,,2100,2195,2200,2200,2250,2225,2300,2375,2400,2400,2400,2400,2395,2400,2500,2500,2595,2595,2500,2495,2475,2450,2400,2450,2495,2495,2495,2500,2500,2500,2500,2500,2475,2500,2495,2495,2500,2500,2500,2550,2650,2600,2695,2738.5,2672.5,2695,2695,2575,2650,2700,2737.5,2700,2695,2695,2700,2750,2650,2650,2600,2600,2600,2695,2513,2700,2700,2737.5,2550
10003,New York,NY,New York,New York,16,2572.5,2550,2395,2400,2400,2400,2495,2500,2500,2500,2495,2350,2350,2495,2462.5,2450,2450,2450,2450,2450,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2550,2595,2595,2595,2595,2595,2595,2575,2582.5,2525,2595,2550,2550,2595,2600,2595,2600,2600,2595,2600,2550,2495,2525,2550,2600,2570,2595,2650,2595,2585,2595,2600,2595,2550,2600,2550,2550
60613,Chicago,IL,Chicago,Cook,17,,,,,,,,,,,,,785,785,785,800,825,825,800,832.5,845,847.5,885,885,885,895,875,895,880,895,895,895,895,900,875,877.5,880,900,925,925,925,925,925,925,910,900,925,900,895,875,895,945,950,950,925,922.5,925,920,955,975,975,975,995,975,997.5,980,995,975,975
20009,Washington,DC,Washington,District of Columbia,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,1859.5,1723,1595,1500,1490,1510,1750,1702,1796,1797,1750,1845,1835,1699,1656.5,1653,1680,1650,1676,1650,1695,1725,1775,1601,1650,1653.5,1695,1699.5,1696.5,1698,1755,1737.5,1840,1750
11209,New York,NY,New York,Kings,19,,,,,,,,,,,1100,1040,1000,1050,1100,1100,1125,1162.5,1150,1100,1100,1175,1199.5,1100,1150,1200,1325,1350,1275,1250,1275,1275,1290,1212.5,1190,1175,1150,1200,1200,1200,1200,1250,1295,1295,1299,1295,1295,1250,1300,1300,1300,1350,1380,1380,1325,1400,1400,1300,1300,1350,1395,1395,1350,1375,1400,1400,1400,1399,1400
60625,Chicago,IL,Chicago,Cook,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,797.5,895,895,850,825,850,850,900,942.5,942.5,925,895,875,987.5,950,950,995,950,885
