RegionName,City,State,Metro,CountyName,SizeRank,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
10025,New York,NY,New York,New York,1,,,,,,,,,,,,,,,,,,4125,4000,4295,4300,4395,4100,4100,4200,4200,4200,4200,4250,4550,4700,4700,4500,4500,4500,4500,4500,4412.5,4425,4373,4225,4000,4300,4400,4345,4350,4390,4485,4495,4395,4250,4500,4500,4500,4672.5,4550,4500,4500,4800,4750,4372.5,4475,4500,4500,4625,4400,4395,4395,4395,4400,4372.5,4395,4450,4500,4600,4500,4500,4300,4600
60657,Chicago,IL,Chicago,Cook,2,,,,,,,,,,,2325,2350,2400,2300,2295,2297.5,2300,2350,2500,2497.5,2455,2380,2487.5,2400,2400,2300,2400,2500,2500,2600,2550,2750,2750,2600,2550,2600,2337.5,2500,2600,2600,2600,2500,2495,2495,2400,2397.5,2450,2495,2500,2500,2600,2600,2595,2550,2550,2500,2500,2500,2500,2500,2400,2550,2692.5,2600,2650,2550,2500,2450,2425,2497.5,2550,2697.5,2650,2600,2700,2695,2700,2600,2600
10023,New York,NY,New York,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,8447.5,9395,9250,7997.5,7495,7500,7000,6997.5,7700,7347.5,7000,7550,6995,6747.5,6500,7172.5
60614,Chicago,IL,Chicago,Cook,4,,,,,,,,,,,2500,2400,2400,2345,2395,2500,2500,2550,2500,2497.5,2525,2500,2500,2472.5,2495,2400,2400,2600,2675,2950,2800,2900,3000,2850,2700,2700,2450,2650,2600,2700,2650,2700,2595,2550,2550,2595,2600,2600,2550,2625,2700,2700,2700,2650,2600,2500,2700,2700,2850,2825,2497.5,2700,2795,2800,2795,2795,2800,2800,2800,2795,2850,2895,2950,2800,2800,2995,2900,2895,2850
79936,El Paso,TX,El Paso,El Paso,5,,,,,,,,,,,,,,,1025,1025,1012.5,995,1012.5,1050,1000,1000,1050,1050,1097.5,1100,1100,1100,1050,1050,1000,995,995,975,950,975,962.5,977.5,995,995,995,1000,1000,997,950,995,962.5,950,950,950,950,975,967.5,975,950,965,995,1000,1000,999,1000,1040,1035,1050,1050,1040,1040,1030,1000,1000,1000,1000,1012.5,1000,1017.5,995,1000,995,990
10002,New York,NY,New York,New York,6,,,,,,,,,,,,,3100,3150,3650,3397.5,3750,3770,3900,3940,3800,3642.5,3600,3700,3995,3995,4225,4197.5,4390,4572.5,4725,4200,4050,4050,4195,4200,4100,4000,4072.5,4200,4150,4150,4250,4297.5,4200,4200,4200,4295,4300,4350,4395,4295,4495,4564,4578,4450,4269,4288,4225,4497.5,4500,4472.5,4672.5,4675,4662.5,4695,4675,4580,4514.5,4500,4500,4450,4800,4700,4500,4875,4695,4750,4500
77084,Houston,TX,Houston,Harris,7,,,,,,,,,,,,,,,,,,,1200,1150,1150,1095,1065,1095,1100,1100,1125,1162.5,1200,1150,1148,1200,1225,1250,1263.5,1325,1251,1282,1385,1347,1375,1340,1335,1360,1335,1350,1424,1350,1335,1335,1300,1312,1350,1350,1345,1300,1345,1324.5,1322,1350,1350,1350,1380,1380,1400,1400,1400,1395,1395,1400,1375,1395,1395,1400,1400,1450,1400,1419,1395
60640,Chicago,IL,Chicago,Cook,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1885,2000,2200,2200,2100,2195,2250,2100,2045,2095,2150,1995,2200,2200,2295,2200,2000,2199,2195
11226,New York,NY,New York,Kings,9,,,,,,,,,,,,,,,,,,,,,,,,1800,1725,1725,1700,1975,1975,1900,1800,1875,1841,1875,1900,1950,1900,1900,2100,2125,2200,2300,2274.5,2100,2000,2149.5,2100,2100,2150,2150,2150,2200,2200,2100,2200,2300,2299,2100,2100,2200,2300,2300,2450,2400,2350,2375,2375,2300,2300,2300,2400,2400,2400,2399,2350,2450,2400,2450,2500
75070,McKinney,TX,Dallas-Fort Worth,Collin,10,,,,,,,,,,,,1395,1395,1395,1500,1500,1450,1450,1495,1425,1445,1485,1495,1450,1500,1513,1550,1497,1495,1500,1462.5,1450,1495,1450,1470,1450,1500,1522,1550,1550,1550,1595,1625,1630,1595,1595,1595,1595,1595,1595,1600,1600,1620,1595,1597,1600,1650,1650,1650,1650,1662.5,1650,1677.5,1695,1680,1691,1695,1665,1695,1700,1696.5,1695,1695,1695,1750,1700,1749.5,1750,1650
