RegionName,City,State,Metro,CountyName,SizeRank,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
10025,New York,NY,New York,New York,1,,,,,,,,,,,,2995,2995,2889,3149,3200,2850,2797.5,2850,2895,2995,3172.5,3000,2995,3000,3000,3000,3195,3200,3000,3150,3400,3500,3500,3500,3350,3300,3400,3200,3200,3200,3100,3200,3297.5,3250,3275,3300,3300,3300,3375,3380,3390,3300,3500,3420,3700,3750,3700,3599.5,3600,3500,3500,3449,3500,3500,3500,3450,3587.5,3692.5,3600,3500,3650,3795,3534,3567,3500,3500,3400,3500,3500
60657,Chicago,IL,Chicago,Cook,2,,,,,,,,,,1950,1987,1650,1625,1647.5,1662.5,1650,1700,1700,1640,1700,1700,1700,1700,1695,1650,1600,1650,1650,1700,1700,1700,1800,1850,1897.5,1850,1800,1800,1650,1700,1710,1800,1800,1800,1850,1875,1900,1885,1847.5,1850,1795,1750,1750,1800,1795,1795,1795,1800,1795,1775,1800,1800,1750,1828,1797.5,1850,1850,1850,1850,1819,1825,1850,1875,1875,1895,1900,1895,1950,1900,1885,1895
10023,New York,NY,New York,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5300,5195,5115,5060,5200,5048,5095,5500,5295,5095,5000,5000,5087,4950,5000,5054,5048,5060,5000,5000,5000,4900,4662.5,4997.5,4987.5
60614,Chicago,IL,Chicago,Cook,4,,,,,,,,,,,,,1725,1725,1675,1700,1775,1800,1800,1850,1925,1950,1962.5,1975,1900,1895,1895,1975,2000,2095,2250,2300,2400,2250,2300,2200,2100,1895,2000,2100,2000,1995,2099,2100,2100,2200,2260,2200,2160,2100,2000,1900,1995,2000,2000,2000,2060,2120,2100,2175,2000,1850,1995,2000,2000,1995,2050,1999,2000,2075,2050,2075,2250,2200,2100,2000,2095,1995,2000,2055
10002,New York,NY,New York,New York,5,,,,,,,,,,,,,2500,2500,2600,2775,2825,2795,2872.5,2850,3000,3100,3300,3200,3000,3097.5,3000,3095,3097.5,3000,3095,3100,3195,3100,3100,3100,3100,3199,3200,3200,3295,3200,3125,3100,3100,3100,3100,3100,3123,3100,3195,3200,3250,3250,3272.5,3200,3150,3250,3272.5,3150,3250,3250,3300,3300,3350,3300,3295,3300,3300,3300,3200,3395,3400,3437.5,3300,3300,3497.5,3295,3300,3300
60640,Chicago,IL,Chicago,Cook,6,,,,,,,,,,,,1350,1350,1300,1305,1305,1395,1325,1350,1395,1395,1317.5,1395,1397.5,1400,1350,1400,1400,1400,1450,1495,1495,1495,1450,1450,1450,1450,1450,1400,1475,1500,1505,1505,1525,1495,1495,1495,1495,1495,1495,1500,1505,1500,1550,1550,1595,1500,1500,1500,1500,1525,1495,1505,1550,1525,1575,1600,1600,1595,1550,1505,1550,1572.5,1600,1595,1595,1595,1550,1575,1595
10467,New York,NY,New York,Bronx,7,,,,,,,,,,,,,,,,,,,1450,1400,1400,1400,1400,1400,1400,1400,1395,1400,1400,1400,1450,1400,1450,1397.5,1475,1450,1400,1450,1450,1450,1500,1500,1500,1492.5,1495,1450,1430,1450,1450,1450,1450,1462.5,1400,1450,1450,1450,1430,1490,1500,1500,1500,1500,1500,1500,1500,1545,1500,1500,1547.5,1545,1500,1550,1550,1600,1600,1600,1600,1600,1600,1650
94109,San Francisco,CA,San Francisco,San Francisco,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3852,3682,4065,4300,4300,4500,4500,4500,4750,4700,4700,4700,4700,4600,4530,4600,4587.5,4695,4625,4499.5,4600,4700,4650,4700,4670,4750,4650,4672.5,4700,4800,4800,4800,4775,4750,4675,4662.5,4825,4800,4700,4650,4700,4600,4700,4495,4600
11226,New York,NY,New York,Kings,9,,,,,,,,,,,,,,,,,1550,1550,1550,1550,1500,1500,1575,1625,1500,1500,1500,1500,1600,1550,1600,1600,1600,1550,1550,1599,1500,1650,1650,1700,1704,1700,1750,1800,1800,1700,1750,1800,1800,1800,1800,1800,1850,1900,1900,1900,1900,1875,1850,1875,1899,1899,1900,1950,1950,1992.5,2000,2000,2095,2025,2000,2000,1975,2000,2000,2050,2100,2100,2000,2065
75070,McKinney,TX,Dallas-Fort Worth,Collin,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1300,1300,1325,1266.5,1330,1425,1330,1264,1255,1330,1417.5,1330,1275,1306,1308,1367.5,1403.5,1378,1392,1439,1389.5,1321,1251,1301,1365,1363,1287,1352,1413,1287,1375,1355
