ZIP_CODE,UNEMPLOYMENT_RATE, SAMPLE_SIZE
01001,6%,13801
01002,9%,24551
01003,17%,11477
01005,10%,4086
01007,5%,11362
01008,5%,997
01009,27%,574
01010,8%,2805
01011,9%,1083
01012,9%,445
01013,10%,17682
01020,9%,25065
01022,25%,2294
01026,6%,924
01027,6%,14921
01028,5%,12198
01029,11%,487
01030,5%,9589
01031,13%,1231
01032,4%,571
01033,4%,4932
01034,7%,1509
01035,5%,4347
01036,7%,4250
01037,5%,570
01038,6%,2077
01039,3%,1323
01040,14%,30876
01050,5%,2045
01053,11%,1662
01054,3%,1473
01056,8%,17622
01057,9%,6826
01060,7%,13202
01062,8%,8969
01063,10%,697
01066,,0
01068,8%,1488
01069,8%,7293
01070,14%,518
01071,7%,1284
01072,5%,1183
01073,4%,4647
01074,0%,306
01075,7%,14901
01077,6%,7671
01079,10%,181
01080,17%,1975
01081,7%,1511
01082,12%,8174
01083,11%,2352
01084,11%,213
01085,7%,32504
01086,0%,1463
01088,8%,677
01089,10%,22850
01092,13%,1127
01093,7%,314
01094,0%,214
01095,8%,11553
01096,3%,1736
01097,33%,42
01098,7%,962
01103,5%,2116
01104,12%,17493
01105,19%,9565
01106,4%,12609
01107,22%,7960
01108,17%,18664
01109,17%,23518
01118,6%,11027
01119,11%,12498
01128,6%,2248
01129,11%,5911
01151,10%,5920
01199,,0
01201,9%,37584
01220,12%,7107
01222,0%,608
01223,10%,2033
01224,15%,163
01225,5%,2517
01226,8%,5675
01229,17%,129
01230,3%,7585
01235,7%,2352
01236,12%,1122
01237,6%,2080
01238,10%,5376
01240,13%,3672
01242,0%,302
01243,7%,224
01244,0%,151
01245,7%,710
01247,11%,13693
01253,7%,543
01254,4%,1016
01255,4%,828
01256,2%,582
01257,1%,1850
01258,2%,236
01259,4%,418
01260,0%,73
01262,7%,887
01264,3%,133
01266,5%,1451
01267,8%,6864
01270,2%,635
01301,9%,14817
01330,7%,1298
01331,11%,10653
01337,8%,2158
01338,3%,181
01339,8%,1230
01340,6%,1408
01341,7%,1442
01342,2%,989
01343,0%,91
01344,11%,1137
01346,8%,348
01347,0%,74
01349,3%,838
01350,14%,111
01351,6%,2072
01354,6%,1220
01355,6%,708
01360,5%,2507
01364,13%,6338
01366,8%,1148
01367,12%,386
01368,11%,902
